ShopID;Shop
1;nelly
2;topshop
3;asos
4;chicnova
5;shopbop
6;nastygal
7;forever21
8;hollister
9;missesdressy
10;missguided
11;hm
12;yoox
13;warehouse
14;mango
15;zara
16;oasis
17;dresslink
18;revolve
19;shein
20;net-a-porter
21;matchesfashion
22;farfetch
23;bluefly
24;theoutnet
25;barneys
26;dress-for-less
27;fashionesta
28;mytheresa
29;thecorner
30;jades24
31;escada
32;mrporter
33;dsquared2
34;stylista
35;dkny
36;icedesign
